Cell_Lat,Cell_Lon,Contagem,Cell_Freq,Contagem_train,Cell_Freq_train,Nearest_Municipio
-19.4,-51.0,156,0.00011518644698543778,143.0,0.00015202189115232594,LAGOA SANTA
-19.4,-50.9,32,2.3627989125218003e-05,27.0,2.8703433993795806e-05,LAGOA SANTA
-19.3,-51.3,5,3.691873300815313e-06,5.0,5.315450739591816e-06,LAGOA SANTA
-19.3,-51.2,8,5.906997281304501e-06,6.0,6.378540887510179e-06,LAGOA SANTA
-19.3,-51.1,34,2.510473844554413e-05,16.0,1.7009442366693812e-05,LAGOA SANTA
-19.3,-51.0,246,0.00018164016640011342,143.0,0.00015202189115232594,LAGOA SANTA
-19.3,-50.9,254,0.0001875471636814179,179.0,0.000190293136477387,LAGOA SANTA
-19.2,-51.5,36,2.6581487765870254e-05,,0.0,ITAJÁ
-19.2,-51.4,19,1.402911854309819e-05,13.0,1.3820171922938722e-05,LAGOA SANTA
-19.2,-51.3,242,0.00017868666775946117,35.0,3.720815517714271e-05,LAGOA SANTA
-19.2,-51.2,45,3.322685970733782e-05,40.0,4.252360591673453e-05,LAGOA SANTA
-19.2,-51.1,51,3.765710766831619e-05,39.0,4.1460515768816165e-05,LAGOA SANTA
-19.2,-51.0,171,0.00012626206688788372,131.0,0.00013926480937730557,LAGOA SANTA
-19.2,-50.9,205,0.00015136680533342785,136.0,0.0001445802601168974,LAGOA SANTA
-19.2,-50.8,45,3.322685970733782e-05,35.0,3.720815517714271e-05,PARANAIGUARA
-19.1,-51.8,16,1.1813994562609002e-05,12.0,1.2757081775020357e-05,ITAJÁ
-19.1,-51.7,79,5.833159815288195e-05,69.0,7.335322020636706e-05,ITAJÁ
-19.1,-51.6,165,0.00012183181892690534,112.0,0.00011906609656685667,ITAJÁ
-19.1,-51.5,231,0.00017056454649766746,61.0,6.484849902302016e-05,ITAJÁ
-19.1,-51.4,35,2.5843113105707193e-05,29.0,3.0829614289632534e-05,ITAJÁ
-19.1,-51.3,72,5.316297553174051e-05,35.0,3.720815517714271e-05,ITAJÁ
-19.1,-51.2,81,5.980834747320808e-05,80.0,8.504721183346906e-05,LAGOA SANTA
-19.1,-51.1,330,0.00024366363785381068,248.0,0.00026364635668375407,LAGOA SANTA
-19.1,-51.0,335,0.000247355511154626,261.0,0.0002774665286066928,LAGOA SANTA
-19.1,-50.9,212,0.0001565354279545693,131.0,0.00013926480937730557,PARANAIGUARA
-19.1,-50.8,86,6.350022077402338e-05,62.0,6.591158917093852e-05,PARANAIGUARA
-19.0,-52.0,9,6.6453719414675636e-06,5.0,5.315450739591816e-06,APORÉ
-19.0,-51.9,80,5.906997281304501e-05,39.0,4.1460515768816165e-05,APORÉ
-19.0,-51.8,11,8.12212126179369e-06,7.0,7.441631035428542e-06,APORÉ
-19.0,-51.7,12,8.860495921956753e-06,12.0,1.2757081775020357e-05,ITAJÁ
-19.0,-51.6,115,8.491308591875221e-05,12.0,1.2757081775020357e-05,ITAJÁ
-19.0,-51.5,250,0.00018459366504076566,165.0,0.00017540987440652992,ITAJÁ
-19.0,-51.4,276,0.0002037914062050053,40.0,4.252360591673453e-05,ITAJÁ
-19.0,-51.3,29,2.1412865144728817e-05,10.0,1.0630901479183633e-05,ITAJÁ
-19.0,-51.2,155,0.00011444807232527472,113.0,0.00012012918671477504,ITAJÁ
-19.0,-51.1,620,0.00045779228930109886,244.0,0.00025939399609208063,ITAJÁ
-19.0,-51.0,408,0.00030125686134652955,328.0,0.0003486935685172231,PARANAIGUARA
-19.0,-50.9,291,0.00021486702610745123,286.0,0.0003040437823046519,PARANAIGUARA
-19.0,-50.8,29,2.1412865144728817e-05,18.0,1.9135622662530537e-05,PARANAIGUARA
-18.9,-52.1,74,5.463972485206664e-05,11.0,1.1693991627101995e-05,APORÉ
-18.9,-52.0,33,2.4366363785381068e-05,17.0,1.8072532514612175e-05,APORÉ
-18.9,-51.9,69,5.0947851551251326e-05,38.0,4.03974256208978e-05,APORÉ
-18.9,-51.8,62,4.5779228930109885e-05,47.0,4.996523695216307e-05,APORÉ
-18.9,-51.7,34,2.510473844554413e-05,32.0,3.4018884733387624e-05,ITARUMÃ
-18.9,-51.6,100,7.383746601630626e-05,31.0,3.295579458546926e-05,ITARUMÃ
-18.9,-51.5,142,0.0001048492017431549,67.0,7.122703991053034e-05,ITARUMÃ
-18.9,-51.4,136,0.00010041895378217652,78.0,8.292103153763233e-05,ITARUMÃ
-18.9,-51.3,114,8.417471125858915e-05,75.0,7.973176109387724e-05,ITARUMÃ
-18.9,-51.2,104,7.679096465695852e-05,80.0,8.504721183346906e-05,ITARUMÃ
-18.9,-51.1,278,0.00020526815552533142,226.0,0.0002402583734295501,CAÇU
-18.9,-51.0,297,0.0002192972740684296,164.0,0.00017434678425861156,CAÇU
-18.9,-50.9,27,1.993611582440269e-05,27.0,2.8703433993795806e-05,PARANAIGUARA
-18.9,-50.8,7,5.168622621141439e-06,7.0,7.441631035428542e-06,PARANAIGUARA
-18.8,-52.3,55,4.0610606308968444e-05,51.0,5.421759754383652e-05,APORÉ
-18.8,-52.2,23,1.698261718375044e-05,18.0,1.9135622662530537e-05,APORÉ
-18.8,-52.1,187,0.00013807606145049272,48.0,5.102832710008143e-05,APORÉ
-18.8,-52.0,184,0.00013586093747000353,50.0,5.315450739591816e-05,APORÉ
-18.8,-51.9,86,6.350022077402338e-05,19.0,2.01987128104489e-05,APORÉ
-18.8,-51.8,195,0.0001439830587317972,148.0,0.00015733734189191776,APORÉ
-18.8,-51.7,159,0.00011740157096592696,117.0,0.0001243815473064485,ITARUMÃ
-18.8,-51.6,368,0.00027172187494000705,148.0,0.00015733734189191776,ITARUMÃ
-18.8,-51.5,198,0.0001461981827122864,135.0,0.00014351716996897904,ITARUMÃ
-18.8,-51.4,161,0.00011887832028625308,151.0,0.00016052661233567284,ITARUMÃ
-18.8,-51.3,269,0.00019862278358386386,147.0,0.0001562742517439994,ITARUMÃ
-18.8,-51.2,102,7.531421533663239e-05,32.0,3.4018884733387624e-05,CAÇU
-18.8,-51.1,225,0.0001661342985366891,211.0,0.00022431202121077462,CAÇU
-18.8,-51.0,55,4.0610606308968444e-05,36.0,3.8271245325061074e-05,CAÇU
-18.8,-50.9,42,3.101173572684863e-05,26.0,2.7640343845877443e-05,PARANAIGUARA
-18.8,-50.8,233,0.0001720412958179936,194.0,0.00020623948869616246,PARANAIGUARA
-18.8,-50.7,314,0.00023184964329120167,270.0,0.0002870343399379581,PARANAIGUARA
-18.7,-52.7,26,1.919774116423963e-05,14.0,1.4883262070857084e-05,CHAPADÃO DO CÉU
-18.7,-52.6,113,8.343633659842608e-05,3.0,3.1892704437550894e-06,CHAPADÃO DO CÉU
-18.7,-52.5,38,2.805823708619638e-05,8.0,8.504721183346906e-06,CHAPADÃO DO CÉU
-18.7,-52.4,29,2.1412865144728817e-05,19.0,2.01987128104489e-05,APORÉ
-18.7,-52.3,147,0.00010854107504397021,91.0,9.674120346057105e-05,APORÉ
-18.7,-52.2,165,0.00012183181892690534,94.0,9.993047390432614e-05,APORÉ
-18.7,-52.1,161,0.00011887832028625308,41.0,4.358669606465289e-05,APORÉ
-18.7,-52.0,58,4.2825730289457634e-05,29.0,3.0829614289632534e-05,APORÉ
-18.7,-51.9,94,6.940721805532788e-05,77.0,8.185794138971397e-05,APORÉ
-18.7,-51.8,311,0.00022963451931071248,177.0,0.00018816695618155028,APORÉ
-18.7,-51.7,665,0.0004910191490084366,496.0,0.0005272927133675081,APORÉ
-18.7,-51.6,65,4.7994352910599075e-05,61.0,6.484849902302016e-05,ITARUMÃ
-18.7,-51.5,48,3.544198368782701e-05,8.0,8.504721183346906e-06,ITARUMÃ
-18.7,-51.4,81,5.980834747320808e-05,51.0,5.421759754383652e-05,ITARUMÃ
-18.7,-51.3,68,5.020947689108826e-05,41.0,4.358669606465289e-05,CAÇU
-18.7,-51.2,318,0.00023480314193185392,304.0,0.0003231794049671824,CAÇU
-18.7,-51.1,90,6.645371941467564e-05,32.0,3.4018884733387624e-05,CAÇU
-18.7,-51.0,10,7.383746601630626e-06,3.0,3.1892704437550894e-06,CAÇU
-18.7,-50.9,150,0.0001107561990244594,77.0,8.185794138971397e-05,PARANAIGUARA
-18.7,-50.8,26,1.919774116423963e-05,20.0,2.1261802958367265e-05,PARANAIGUARA
-18.7,-50.7,24,1.7720991843913505e-05,3.0,3.1892704437550894e-06,PARANAIGUARA
-18.6,-53.0,16,1.1813994562609002e-05,4.0,4.252360591673453e-06,CHAPADÃO DO CÉU
-18.6,-52.9,680,0.0005020947689108826,344.0,0.0003657030108839169,CHAPADÃO DO CÉU
-18.6,-52.8,295,0.00021782052474810347,250.0,0.0002657725369795908,CHAPADÃO DO CÉU
-18.6,-52.7,165,0.00012183181892690534,152.0,0.0001615897024835912,CHAPADÃO DO CÉU
-18.6,-52.6,86,6.350022077402338e-05,59.0,6.272231872718343e-05,CHAPADÃO DO CÉU
-18.6,-52.5,116,8.565146057891527e-05,26.0,2.7640343845877443e-05,CHAPADÃO DO CÉU
-18.6,-52.4,671,0.000495449396969415,411.0,0.00043693005079444724,CHAPADÃO DO CÉU
-18.6,-52.3,256,0.00018902391300174403,157.0,0.00016690515322318302,APORÉ
-18.6,-52.2,75,5.53780995122297e-05,69.0,7.335322020636706e-05,APORÉ
-18.6,-52.1,285,0.00021043677814647286,209.0,0.0002221858409149379,APORÉ
-18.6,-52.0,311,0.00022963451931071248,299.0,0.0003178639542275906,APORÉ
-18.6,-51.9,58,4.2825730289457634e-05,23.0,2.4451073402122352e-05,APORÉ
-18.6,-51.8,518,0.00038247807396446645,123.0,0.00013076008819395868,APORÉ
-18.6,-51.7,203,0.00014989005601310173,145.0,0.00015414807144816266,APORÉ
-18.6,-51.6,62,4.5779228930109885e-05,43.0,4.5712876360489614e-05,ITARUMÃ
-18.6,-51.5,122,9.008170853989365e-05,99.0,0.00010524592464391795,ITARUMÃ
-18.6,-51.4,34,2.510473844554413e-05,26.0,2.7640343845877443e-05,CAÇU
-18.6,-51.3,143,0.00010558757640331796,87.0,9.24888428688976e-05,CAÇU
-18.6,-51.2,132,9.746545514152427e-05,54.0,5.740686798759161e-05,CAÇU
-18.6,-51.1,18,1.3290743882935127e-05,5.0,5.315450739591816e-06,CAÇU
-18.6,-51.0,99,7.30990913561432e-05,24.0,2.5514163550040715e-05,CACHOEIRA ALTA
-18.6,-50.9,9,6.6453719414675636e-06,2.0,2.1261802958367265e-06,CACHOEIRA ALTA
-18.6,-50.7,250,0.00018459366504076566,127.0,0.0001350124487856321,PARANAIGUARA
-18.6,-50.6,81,5.980834747320808e-05,27.0,2.8703433993795806e-05,PARANAIGUARA
-18.6,-49.4,200,0.00014767493203261253,149.0,0.00015840043203983612,CACHOEIRA DOURADA
-18.5,-52.9,521,0.00038469319794495564,334.0,0.0003550721094047333,CHAPADÃO DO CÉU
-18.5,-52.8,1190,0.0008786658455940446,966.0,0.001026945082889139,CHAPADÃO DO CÉU
-18.5,-52.7,394,0.00029091961610424666,318.0,0.00033806266703803947,CHAPADÃO DO CÉU
-18.5,-52.6,113,8.343633659842608e-05,69.0,7.335322020636706e-05,CHAPADÃO DO CÉU
-18.5,-52.5,592,0.0004371177988165331,28.0,2.9766524141714168e-05,CHAPADÃO DO CÉU
-18.5,-52.4,657,0.00048511215172713216,328.0,0.0003486935685172231,CHAPADÃO DO CÉU
-18.5,-52.3,336,0.00024809388581478904,66.0,7.016394976261197e-05,APORÉ
-18.5,-52.2,248,0.00018311691572043954,219.0,0.00023281674239412155,APORÉ
-18.5,-52.1,273,0.0002015762822245161,234.0,0.000248763094612897,APORÉ
-18.5,-52.0,238,0.0001757331691188089,214.0,0.00022750129165452973,APORÉ
-18.5,-51.9,46,3.396523436750088e-05,35.0,3.720815517714271e-05,APORÉ
-18.5,-51.8,101,7.457584067646933e-05,45.0,4.7839056656326346e-05,APORÉ
-18.5,-51.7,139,0.00010263407776266571,100.0,0.00010630901479183632,APORÉ
-18.5,-51.6,197,0.00014545980805212333,160.0,0.00017009442366693812,APARECIDA DO RIO DOCE
-18.5,-51.5,82,6.054672213337114e-05,61.0,6.484849902302016e-05,APARECIDA DO RIO DOCE
-18.5,-51.4,189,0.00013955281077081884,121.0,0.00012863390789812196,APARECIDA DO RIO DOCE
-18.5,-51.3,147,0.00010854107504397021,41.0,4.358669606465289e-05,CAÇU
-18.5,-51.2,147,0.00010854107504397021,110.0,0.00011693991627101995,CAÇU
-18.5,-51.1,96,7.088396737565402e-05,71.0,7.547940050220379e-05,CACHOEIRA ALTA
-18.5,-51.0,107,7.90060886374477e-05,18.0,1.9135622662530537e-05,CACHOEIRA ALTA
-18.5,-50.9,69,5.0947851551251326e-05,24.0,2.5514163550040715e-05,CACHOEIRA ALTA
-18.5,-50.8,153,0.0001129713230049486,97.0,0.00010311974434808123,CACHOEIRA ALTA
-18.5,-50.7,360,0.00026581487765870256,293.0,0.0003114854133400804,QUIRINÓPOLIS
-18.5,-50.6,46,3.396523436750088e-05,41.0,4.358669606465289e-05,QUIRINÓPOLIS
-18.5,-50.0,61,4.5040854269946824e-05,50.0,5.315450739591816e-05,INACIOLÂNDIA
-18.5,-49.9,139,0.00010263407776266571,97.0,0.00010311974434808123,INACIOLÂNDIA
-18.5,-49.8,251,0.00018533203970092874,195.0,0.00020730257884408082,INACIOLÂNDIA
-18.5,-49.6,216,0.00015948892659522153,169.0,0.00017966223499820338,CACHOEIRA DOURADA
-18.5,-49.5,353,0.0002606462550375611,208.0,0.00022112275076701954,CACHOEIRA DOURADA
-18.5,-49.4,1064,0.0007856306384134987,701.0,0.0007452261936907726,CACHOEIRA DOURADA
-18.5,-49.3,701,0.0005176006367743069,641.0,0.0006814407848156708,ITUMBIARA
-18.5,-49.2,10,7.383746601630626e-06,10.0,1.0630901479183633e-05,ITUMBIARA
-18.4,-52.9,15,1.107561990244594e-05,15.0,1.5946352218775446e-05,CHAPADÃO DO CÉU
-18.4,-52.8,171,0.00012626206688788372,139.0,0.00014776953056065247,CHAPADÃO DO CÉU
-18.4,-52.7,333,0.00024587876183429985,101.0,0.00010737210493975468,CHAPADÃO DO CÉU
-18.4,-52.6,252,0.00018607041436109178,211.0,0.00022431202121077462,CHAPADÃO DO CÉU
-18.4,-52.5,403,0.00029756498804571425,164.0,0.00017434678425861156,CHAPADÃO DO CÉU
-18.4,-52.4,390,0.0002879661174635944,311.0,0.00033062103600261096,CHAPADÃO DO CÉU
-18.4,-52.3,267,0.00019714603426353774,258.0,0.0002742772581629377,SERRANÓPOLIS
-18.4,-52.2,217,0.0001602273012553846,166.0,0.00017647296455444828,SERRANÓPOLIS
-18.4,-52.1,721,0.0005323681299775682,374.0,0.00039759571532146785,SERRANÓPOLIS
-18.4,-52.0,566,0.0004179200576522935,299.0,0.0003178639542275906,SERRANÓPOLIS
-18.4,-51.9,66,4.8732727570762136e-05,52.0,5.5280687691754886e-05,SERRANÓPOLIS
-18.4,-51.8,326,0.00024071013921315843,244.0,0.00025939399609208063,SERRANÓPOLIS
-18.4,-51.7,587,0.0004334259255157178,514.0,0.0005464283360300387,APARECIDA DO RIO DOCE
-18.4,-51.6,270,0.0001993611582440269,235.0,0.00024982618476081535,APARECIDA DO RIO DOCE
-18.4,-51.5,124,9.155845786021977e-05,101.0,0.00010737210493975468,APARECIDA DO RIO DOCE
-18.4,-51.4,81,5.980834747320808e-05,21.0,2.2324893106285628e-05,APARECIDA DO RIO DOCE
-18.4,-51.3,78,5.759322349271889e-05,39.0,4.1460515768816165e-05,APARECIDA DO RIO DOCE
-18.4,-51.2,105,7.752933931712158e-05,71.0,7.547940050220379e-05,APARECIDA DO RIO DOCE
-18.4,-51.1,347,0.00025621600707658273,261.0,0.0002774665286066928,CACHOEIRA ALTA
-18.4,-51.0,123,9.082008320005671e-05,92.0,9.780429360848941e-05,CACHOEIRA ALTA
-18.4,-50.9,84,6.202347145369726e-05,52.0,5.5280687691754886e-05,CACHOEIRA ALTA
-18.4,-50.8,363,0.00026803000163919176,294.0,0.0003125485034879988,CACHOEIRA ALTA
-18.4,-50.7,429,0.00031676272920995387,187.0,0.00019879785766073392,QUIRINÓPOLIS
-18.4,-50.6,214,0.0001580121772748954,58.0,6.165922857926507e-05,QUIRINÓPOLIS
-18.4,-50.5,578,0.0004267805535742502,103.0,0.00010949828523559141,QUIRINÓPOLIS
-18.4,-50.4,199,0.00014693655737244948,131.0,0.00013926480937730557,QUIRINÓPOLIS
-18.4,-50.1,9,6.6453719414675636e-06,7.0,7.441631035428542e-06,INACIOLÂNDIA
-18.4,-50.0,715,0.0005279378820165898,623.0,0.0006623051621531403,INACIOLÂNDIA
-18.4,-49.9,1011,0.0007464967814248564,823.0,0.000874923191736813,INACIOLÂNDIA
-18.4,-49.8,585,0.00043194917619539166,472.0,0.0005017785498174674,INACIOLÂNDIA
-18.4,-49.7,264,0.00019493091028304854,163.0,0.0001732836941106932,CACHOEIRA DOURADA
-18.4,-49.5,121,8.934333387973059e-05,61.0,6.484849902302016e-05,ITUMBIARA
-18.4,-49.4,694,0.0005124320141531655,535.0,0.0005687532291363244,ITUMBIARA
-18.4,-49.3,1253,0.0009251834491843176,928.0,0.000986547657268241,ITUMBIARA
-18.4,-49.2,486,0.00035885008483924844,318.0,0.00033806266703803947,PANAMÁ
-18.4,-48.1,93,6.866884339516482e-05,91.0,9.674120346057105e-05,CUMARI
-18.4,-48.0,121,8.934333387973059e-05,121.0,0.00012863390789812196,CUMARI
-18.4,-47.9,26,1.919774116423963e-05,20.0,2.1261802958367265e-05,TRÊS RANCHOS
-18.4,-47.8,7,5.168622621141439e-06,2.0,2.1261802958367265e-06,TRÊS RANCHOS
-18.3,-53.1,148,0.00010927944970413327,143.0,0.00015202189115232594,CHAPADÃO DO CÉU
-18.3,-53.0,1028,0.0007590491506476284,758.0,0.0008058223321221193,CHAPADÃO DO CÉU
-18.3,-52.9,744,0.0005493507471613186,427.0,0.0004539394931611411,CHAPADÃO DO CÉU
-18.3,-52.8,855,0.0006313103344394186,486.0,0.0005166618118883245,CHAPADÃO DO CÉU
-18.3,-52.7,557,0.0004112746857108259,443.0,0.0004709489355278349,CHAPADÃO DO CÉU
-18.3,-52.6,237,0.00017499479445864585,104.0,0.00011056137538350977,CHAPADÃO DO CÉU
-18.3,-52.5,308,0.0002274193953302233,47.0,4.996523695216307e-05,CHAPADÃO DO CÉU
-18.3,-52.4,158,0.0001166631963057639,16.0,1.7009442366693812e-05,SERRANÓPOLIS
-18.3,-52.3,140,0.00010337245242282877,119.0,0.0001265077276022852,SERRANÓPOLIS
-18.3,-52.2,243,0.00017942504241962422,164.0,0.00017434678425861156,SERRANÓPOLIS
-18.3,-52.1,514,0.0003795245753238142,324.0,0.0003444412079255497,SERRANÓPOLIS
-18.3,-52.0,369,0.0002724602496001701,231.0,0.0002455738241691419,SERRANÓPOLIS
-18.3,-51.9,227,0.00016761104785701522,176.0,0.00018710386603363192,SERRANÓPOLIS
-18.3,-51.8,373,0.0002754137482408224,218.0,0.00023175365224620316,SERRANÓPOLIS
-18.3,-51.7,264,0.00019493091028304854,103.0,0.00010949828523559141,APARECIDA DO RIO DOCE
-18.3,-51.6,76,5.611647417239276e-05,43.0,4.5712876360489614e-05,APARECIDA DO RIO DOCE
-18.3,-51.5,149,0.00011001782436429634,126.0,0.00013394935863771375,APARECIDA DO RIO DOCE
-18.3,-51.4,110,8.122121261793689e-05,65.0,6.910085961469361e-05,APARECIDA DO RIO DOCE
-18.3,-51.3,340,0.0002510473844554413,233.0,0.00024770000446497863,APARECIDA DO RIO DOCE
-18.3,-51.2,141,0.00010411082708299183,110.0,0.00011693991627101995,APARECIDA DO RIO DOCE
-18.3,-51.1,173,0.00012773881620820984,112.0,0.00011906609656685667,CACHOEIRA ALTA
-18.3,-51.0,199,0.00014693655737244948,163.0,0.0001732836941106932,CACHOEIRA ALTA
-18.3,-50.9,76,5.611647417239276e-05,59.0,6.272231872718343e-05,CACHOEIRA ALTA
-18.3,-50.8,69,5.0947851551251326e-05,25.0,2.657725369795908e-05,QUIRINÓPOLIS
-18.3,-50.7,95,7.014559271549096e-05,71.0,7.547940050220379e-05,QUIRINÓPOLIS
-18.3,-50.6,379,0.00027984399620180074,92.0,9.780429360848941e-05,QUIRINÓPOLIS
-18.3,-50.5,694,0.0005124320141531655,90.0,9.567811331265269e-05,QUIRINÓPOLIS
-18.3,-50.4,353,0.0002606462550375611,254.0,0.0002700248975712642,CASTELÂNDIA
-18.3,-50.1,128,9.451195650087201e-05,86.0,9.142575272097923e-05,INACIOLÂNDIA
-18.3,-50.0,565,0.0004171816829921304,468.0,0.000497526189225794,BOM JESUS DE GOIÁS
-18.3,-49.9,1370,0.0010115732844233958,1029.0,0.0010939197622079958,BOM JESUS DE GOIÁS
-18.3,-49.8,1326,0.000979084799376221,871.0,0.0009259515188368943,BOM JESUS DE GOIÁS
-18.3,-49.7,660,0.00048732727570762136,457.0,0.00048583219759869197,ITUMBIARA
-18.3,-49.5,240,0.00017720991843913505,137.0,0.00014564335026481576,ITUMBIARA
-18.3,-49.4,723,0.0005338448792978943,534.0,0.0005676901389884059,PANAMÁ
-18.3,-49.3,691,0.0005102168901726763,277.0,0.0002944759709733866,PANAMÁ
-18.3,-49.2,491,0.0003625419581400638,316.0,0.00033593648674220275,PANAMÁ
-18.3,-49.1,8,5.906997281304501e-06,5.0,5.315450739591816e-06,BURITI ALEGRE
-18.3,-48.3,20,1.4767493203261253e-05,15.0,1.5946352218775446e-05,ANHANGUERA
-18.3,-48.2,224,0.00016539592387652605,188.0,0.00019986094780865228,ANHANGUERA
-18.3,-48.1,66,4.8732727570762136e-05,49.0,5.2091417247999796e-05,CUMARI
-18.3,-48.0,116,8.565146057891527e-05,95.0,0.0001009935640522445,CUMARI
-18.3,-47.9,90,6.645371941467564e-05,81.0,8.611030198138742e-05,TRÊS RANCHOS
-18.3,-47.8,141,0.00010411082708299183,86.0,9.142575272097923e-05,TRÊS RANCHOS
