Municipio,Contagem,Latitude,Longitude,Municipio_Freq
NIQUELÂNDIA,95164,-14.555710756178348,-48.323001755813664,0.07026668615975769
CAVALCANTE,82688,-13.605372533203356,-47.74998846789225,0.061054723899563325
FORMOSA,44283,-15.366385635807053,-47.255312528185605,0.032697445076000906
MINEIROS,37282,-17.758011413392754,-52.819223041509886,0.027528084080199303
MONTE ALEGRE DE GOIÁS,34781,-13.350813143278856,-46.98514054795142,0.02568140905513148
PLANALTINA,29834,-15.297339114149969,-47.82804373552916,0.022028669611304813
FLORES DE GOIÁS,27741,-14.695829008839361,-46.88334718801356,0.02048325144758352
RIO VERDE,27192,-17.80973337888139,-51.01793797116709,0.020077883759154
SÃO DOMINGOS,25030,-13.484742034647565,-46.3952483067699,0.01848151774388146
JATAÍ,24579,-17.885693026802887,-51.7369228480587,0.018148510772147918
MINAÇU,23995,-13.517945024690187,-48.337109129169214,0.01771729997061269
SÃO JOÃO D'ALIANÇA,23633,-14.47092130372994,-47.44566869827519,0.01745000834363366
PADRE BERNARDO,23222,-15.387542873502616,-48.242343214284524,0.01714653635830664
COLINAS DO SUL,22031,-13.941484558994159,-48.086108285372966,0.016267132138052434
MIMOSO DE GOIÁS,20781,-15.0302729730905,-48.33825202036574,0.015344163812848605
CAIAPÔNIA,19333,-17.02333953529842,-51.809030008056546,0.01427499730493249
CRIXÁS,19308,-14.80659158075239,-50.06889904182484,0.014256537938428415
NOVA CRIXÁS,19023,-14.109081491545986,-50.60644025233707,0.01404610116028194
ALTO PARAÍSO DE GOIÁS,18425,-14.194794675020933,-47.58800995260268,0.01360455311350443
CRISTALINA,17901,-16.729108968671913,-47.51949739378938,0.013217644791578985
PORANGATU,17718,-13.295151272205967,-49.25062116604489,0.013082522228769143
NOVA ROMA,16432,-13.714942640576535,-47.01834764226104,0.012132972415799446
SÃO MIGUEL DO ARAGUAIA,14628,-13.03457954651454,-50.31087167757311,0.010800944528865281
CAMPINAÇU,14568,-13.868181231222769,-48.55699372818981,0.010756642049255498
ÁGUA FRIA DE GOIÁS,13683,-14.959240097702763,-47.8720093319421,0.010103180475011186
JUSSARA,13189,-15.53774041723269,-51.30291227238109,0.009738423392890633
BALIZA,12803,-16.335498056525363,-52.470443799458764,0.00945341077406769
PARAÚNA,12711,-17.025229406670206,-50.64132283176662,0.00938548030533269
VILA PROPÍCIO,12311,-15.174992710889834,-48.74270162202432,0.009090130441267464
URUAÇU,11498,-14.424659723475168,-49.081429732121045,0.008489831842554894
SERRANÓPOLIS,11455,-18.245444254046,-52.13858145093347,0.008458081732167883
IPAMERI,11133,-17.453901960073118,-47.994679662267664,0.008220325091595376
POSSE,10676,-14.196997106543726,-46.3411011854588,0.007882887871900857
ITUMBIARA,10424,-18.363035398384092,-49.51316782799183,0.0076968174575397655
ARAGUAPAZ,9844,-15.139882625109504,-50.2765366521584,0.0072685601546451884
LUZIÂNIA,9514,-16.41158591502055,-47.9402484582945,0.007024896516791378
BARRO ALTO,9507,-14.9246949793272,-48.898313186637075,0.007019727894170237
BOM JARDIM DE GOIÁS,9457,-16.169600227866493,-52.08811808319062,0.006982809161162083
ALVORADA DO NORTE,9360,-14.578913930149612,-46.62741788371978,0.0069111868191262665
CATALÃO,9081,-17.859620758114687,-47.65795514226879,0.006705180288940772
GOIÁS,9046,-15.910637681321438,-50.22587344128038,0.006679337175835065
SANTA HELENA DE GOIÁS,8878,-17.809635495091406,-50.550434417318826,0.00655529023292767
SÍTIO D'ABADIA,8650,-14.729138480039394,-46.29929381822457,0.006386940810410492
CHAPADÃO DO CÉU,8524,-18.418374746272935,-52.650980123044505,0.006293905603229946
