Municipio,Data,Precipitacao,DiaSemChuva,Mes,DiaSemana,Estacao_Seca,Municipio_Freq,Latitude,Longitude,media_focos_mes_hist,prob_fogo,percentil,risco
NIQUELÂNDIA,2026-06-19,0.0,2,6,4,1,0.0702666861597576,-14.555710756178348,-48.323001755813664,16.54513888888889,0.9540695048503136,1.0,ALTO
CAVALCANTE,2026-06-19,0.0,2,6,4,1,0.0610547238995633,-13.605372533203356,-47.74998846789225,13.759398496240602,0.9275591342150703,0.9959016393442623,ALTO
MINEIROS,2026-06-19,0.0,2,6,4,1,0.0275280840801993,-17.758011413392754,-52.819223041509886,9.509174311926603,0.9053126691488338,0.9918032786885246,ALTO
CAIAPÔNIA,2026-06-19,0.0,3,6,4,1,0.0142749973049324,-17.02333953529842,-51.80903000805655,7.114832535885167,0.9014616366391217,0.9877049180327869,ALTO
JATAÍ,2026-06-19,0.0,3,6,4,1,0.0181485107721479,-17.885693026802887,-51.7369228480587,4.259668508287293,0.89482900562819,0.9836065573770492,ALTO
RIO VERDE,2026-06-19,0.0,3,6,4,1,0.020077883759154,-17.80973337888139,-51.01793797116709,5.575418994413408,0.8918107531347393,0.9795081967213115,ALTO
CRISTALINA,2026-06-19,0.0,3,6,4,1,0.0132176447915789,-16.729108968671913,-47.51949739378938,4.318181818181818,0.8917194817835068,0.9754098360655737,ALTO
BARRO ALTO,2026-06-19,0.0,2,6,4,1,0.0070197278941702,-14.9246949793272,-48.89831318663708,2.274193548387097,0.8895281922469104,0.9713114754098361,ALTO
FORMOSA,2026-06-19,0.0,2,6,4,1,0.0326974450760009,-15.366385635807053,-47.255312528185605,4.150837988826815,0.8769316792963158,0.9672131147540983,ALTO
IPAMERI,2026-06-19,0.0,4,6,4,1,0.0082203250915953,-17.453901960073118,-47.994679662267664,5.139896373056994,0.8768245473434784,0.9631147540983607,ALTO
LUZIÂNIA,2026-06-19,0.0,3,6,4,1,0.0070248965167913,-16.41158591502055,-47.9402484582945,3.549504950495049,0.8567875991876246,0.9590163934426229,ALTO
NOVA CRIXÁS,2026-06-19,0.0,2,6,4,1,0.0140461011602819,-14.109081491545986,-50.60644025233707,11.0,0.8567628611652472,0.9549180327868853,ALTO
CATALÃO,2026-06-19,0.0,4,6,4,1,0.0067051802889407,-17.859620758114687,-47.65795514226879,6.779220779220779,0.8438874328907596,0.9508196721311475,ALTO
PORANGATU,2026-06-19,0.0,1,6,4,1,0.0130825222287691,-13.295151272205969,-49.25062116604489,8.9,0.8405679717929869,0.9467213114754098,ALTO
PLANALTINA,2026-06-19,0.0,2,6,4,1,0.0220286696113048,-15.297339114149969,-47.82804373552916,6.205128205128205,0.8389908393663096,0.9426229508196722,ALTO
